"Curso","Módulo Profesional","Resultado de Aprendizaje","Criterios de Evaluación"
"2º G.D.C.F.G.M.(Electromecánica de Vehículos","Sistemas de Seguridad y Confortabilidad","4. Mantiene las instalaciones y realiza el montaje de equipos audiovisuales, de comunicación y de confort, describiendo las técnicas de instalación y montaje.","b) Se ha comprobado la funcionalidad de las instalaciones de los sistemas."
"2º G.D.C.F.G.M.(Electromecánica de Vehículos","Sistemas de Seguridad y Confortabilidad","4. Mantiene las instalaciones y realiza el montaje de equipos audiovisuales, de comunicación y de confort, describiendo las técnicas de instalación y montaje.","c) Se ha seleccionado e interpretado la documentación técnica necesaria para la instalación de nuevos equipos en el vehículo."
"2º G.D.C.F.G.M.(Electromecánica de Vehículos","Sistemas de Seguridad y Confortabilidad","4. Mantiene las instalaciones y realiza el montaje de equipos audiovisuales, de comunicación y de confort, describiendo las técnicas de instalación y montaje.","d) Se ha efectuado un esquema previo de montaje de instalación del nuevo equipo."
"2º G.D.C.F.G.M.(Electromecánica de Vehículos","Sistemas de Seguridad y Confortabilidad","4. Mantiene las instalaciones y realiza el montaje de equipos audiovisuales, de comunicación y de confort, describiendo las técnicas de instalación y montaje.","e) Se han seleccionado los elementos del equipo a instalar y se han calculado las secciones de los conductores."
"2º G.D.C.F.G.M.(Electromecánica de Vehículos","Sistemas de Seguridad y Confortabilidad","4. Mantiene las instalaciones y realiza el montaje de equipos audiovisuales, de comunicación y de confort, describiendo las técnicas de instalación y montaje.","f) Se ha realizado la recarga de parámetros y datos."
"2º G.D.C.F.G.M.(Electromecánica de Vehículos","Sistemas de Seguridad y Confortabilidad","4. Mantiene las instalaciones y realiza el montaje de equipos audiovisuales, de comunicación y de confort, describiendo las técnicas de instalación y montaje.","g) Se ha realizado el montaje de los distintos componentes del sistema."
"2º G.D.C.F.G.M.(Electromecánica de Vehículos","Sistemas de Seguridad y Confortabilidad","4. Mantiene las instalaciones y realiza el montaje de equipos audiovisuales, de comunicación y de confort, describiendo las técnicas de instalación y montaje.","h) Se ha verificado su funcionamiento utilizando equipos de comprobación."
"2º G.D.C.F.G.M.(Electromecánica de Vehículos","Sistemas de Seguridad y Confortabilidad","4. Mantiene las instalaciones y realiza el montaje de equipos audiovisuales, de comunicación y de confort, describiendo las técnicas de instalación y montaje.","i) Se ha observado una actitud ordenada y metódica en la realización de las actividades."
"2º G.D.C.F.G.M.(Electromecánica de Vehículos","Sistemas de Seguridad y Confortabilidad","5. Mantiene los sistemas de seguridad de las personas y del propio vehículo, interpretando y aplicando procedimientos de trabajo establecidos.","a) Se han localizado en un vehículo los elementos que componen los sistemas de seguridad."
"2º G.D.C.F.G.M.(Electromecánica de Vehículos","Sistemas de Seguridad y Confortabilidad","5. Mantiene los sistemas de seguridad de las personas y del propio vehículo, interpretando y aplicando procedimientos de trabajo establecidos.","b) Se ha interpretado el esquema de funcionamiento de los sistemas de seguridad."
"2º G.D.C.F.G.M.(Electromecánica de Vehículos","Sistemas de Seguridad y Confortabilidad","5. Mantiene los sistemas de seguridad de las personas y del propio vehículo, interpretando y aplicando procedimientos de trabajo establecidos.","c) Se ha desmontado, verificado y montado los componentes de los sistemas de seguridad."
"2º G.D.C.F.G.M.(Electromecánica de Vehículos","Sistemas de Seguridad y Confortabilidad","5. Mantiene los sistemas de seguridad de las personas y del propio vehículo, interpretando y aplicando procedimientos de trabajo establecidos.","d) Se han leído y borrado los códigos de avería de airbag y pretensor de cinturón de seguridad con equipo de diagnosis."
"2º G.D.C.F.G.M.(Electromecánica de Vehículos","Sistemas de Seguridad y Confortabilidad","5. Mantiene los sistemas de seguridad de las personas y del propio vehículo, interpretando y aplicando procedimientos de trabajo establecidos.","e) Se ha determinado el grado de protección de una alarma observando sus características técnicas."
"2º G.D.C.F.G.M.(Electromecánica de Vehículos","Sistemas de Seguridad y Confortabilidad","5. Mantiene los sistemas de seguridad de las personas y del propio vehículo, interpretando y aplicando procedimientos de trabajo establecidos.","f) Se ha instalado un sistema de alarma en un vehículo realizando previamente un esquema con la ubicación de los componentes y su interconexión eléctrica."
"2º G.D.C.F.G.M.(Electromecánica de Vehículos","Sistemas de Seguridad y Confortabilidad","5. Mantiene los sistemas de seguridad de las personas y del propio vehículo, interpretando y aplicando procedimientos de trabajo establecidos.","g) Se ha comprobado la interrelación entre los distintos sistemas."
"2º G.D.C.F.G.M.(Electromecánica de Vehículos","Sistemas de Seguridad y Confortabilidad","5. Mantiene los sistemas de seguridad de las personas y del propio vehículo, interpretando y aplicando procedimientos de trabajo establecidos.","h) Se han reprogramado y codificado los componentes de los sistemas de seguridad."
"2º G.D.C.F.G.M.(Electromecánica de Vehículos","Sistemas de Seguridad y Confortabilidad","5. Mantiene los sistemas de seguridad de las personas y del propio vehículo, interpretando y aplicando procedimientos de trabajo establecidos.","i) Se ha realizado el ajuste de parámetros y verificado el correcto funcionamiento."
"2º G.D.C.F.G.M.(Electromecánica de Vehículos","Sistemas de Seguridad y Confortabilidad","6. Sustituye lunas y elementos auxiliares de la carrocería describiendo los procedimientos de sustitución y montaje.","a) Se han descrito distintos tipos de carrocería y su constitución general."
"2º G.D.C.F.G.M.(Electromecánica de Vehículos","Sistemas de Seguridad y Confortabilidad","6. Sustituye lunas y elementos auxiliares de la carrocería describiendo los procedimientos de sustitución y montaje.","b) Se han desmontado y montado guarnecidos y elementos auxiliares de puertas utilizando manuales de taller y documentación técnica."
"2º G.D.C.F.G.M.(Electromecánica de Vehículos","Sistemas de Seguridad y Confortabilidad","6. Sustituye lunas y elementos auxiliares de la carrocería describiendo los procedimientos de sustitución y montaje.","c) Se ha desmontado, verificado y montado el conjunto de cerradura de un vehículo."
"2º G.D.C.F.G.M.(Electromecánica de Vehículos","Sistemas de Seguridad y Confortabilidad","6. Sustituye lunas y elementos auxiliares de la carrocería describiendo los procedimientos de sustitución y montaje.","d) Se ha ajustado el anclaje de cierre de la puerta."
"2º G.D.C.F.G.M.(Electromecánica de Vehículos","Sistemas de Seguridad y Confortabilidad","6. Sustituye lunas y elementos auxiliares de la carrocería describiendo los procedimientos de sustitución y montaje.","e) Se han clasificado los tipos de lunas relacionándolas con su constitución y montaje."
"2º G.D.C.F.G.M.(Electromecánica de Vehículos","Sistemas de Seguridad y Confortabilidad","6. Sustituye lunas y elementos auxiliares de la carrocería describiendo los procedimientos de sustitución y montaje.","f) Se han identificado las lunas por su simbología grabada."
"2º G.D.C.F.G.M.(Electromecánica de Vehículos","Sistemas de Seguridad y Confortabilidad","6. Sustituye lunas y elementos auxiliares de la carrocería describiendo los procedimientos de sustitución y montaje.","g) Se han seleccionado las herramientas adecuadas para la extracción y montaje de una luna según sus características."
"2º G.D.C.F.G.M.(Electromecánica de Vehículos","Sistemas de Seguridad y Confortabilidad","6. Sustituye lunas y elementos auxiliares de la carrocería describiendo los procedimientos de sustitución y montaje.","h) Se ha procedido a la extracción y montaje de una luna calzada y otra pegada, empleando los procedimientos establecidos."
"2º G.D.C.F.G.M.(Electromecánica de Vehículos","Sistemas de Seguridad y Confortabilidad","6. Sustituye lunas y elementos auxiliares de la carrocería describiendo los procedimientos de sustitución y montaje.","i) Se ha observado una actitud ordenada y metódica en la realización de las actividades."
"2º G.D.C.F.G.M.(Electromecánica de Vehículos","Sistemas de Seguridad y Confortabilidad","7. Aplica las normas de prevención de riesgos laborales y de protección ambiental, identificando los riesgos asociados y las medidas y equipos para prevenirlos.","a) Se han identificado los riesgos y el nivel de peligrosidad que suponen la manipulación de materiales, herramientas, útiles y máquinas del área de electromecánica de un taller."
"2º G.D.C.F.G.M.(Electromecánica de Vehículos","Sistemas de Seguridad y Confortabilidad","7. Aplica las normas de prevención de riesgos laborales y de protección ambiental, identificando los riesgos asociados y las medidas y equipos para prevenirlos.","b) Se han descrito las medidas de seguridad y de protección personal y colectiva que se deben adoptar en la ejecución de las operaciones del área de electromecánica."
"2º G.D.C.F.G.M.(Electromecánica de Vehículos","Sistemas de Seguridad y Confortabilidad","7. Aplica las normas de prevención de riesgos laborales y de protección ambiental, identificando los riesgos asociados y las medidas y equipos para prevenirlos.","c) Se han identificado las causas más frecuentes de accidentes en la manipulación de materiales, herramientas, máquinas y equipos de trabajo empleados en los procesos de electromecánica del vehículo."
"2º G.D.C.F.G.M.(Electromecánica de Vehículos","Sistemas de Seguridad y Confortabilidad","7. Aplica las normas de prevención de riesgos laborales y de protección ambiental, identificando los riesgos asociados y las medidas y equipos para prevenirlos.","d) Se ha valorado el orden y la limpieza de instalaciones y equipos como primer factor de prevención de riesgos."
"2º G.D.C.F.G.M.(Electromecánica de Vehículos","Sistemas de Seguridad y Confortabilidad","7. Aplica las normas de prevención de riesgos laborales y de protección ambiental, identificando los riesgos asociados y las medidas y equipos para prevenirlos.","e) Se han clasificado los residuos generados para su retirada selectiva."
"2º G.D.C.F.G.M.(Electromecánica de Vehículos","Sistemas de Seguridad y Confortabilidad","7. Aplica las normas de prevención de riesgos laborales y de protección ambiental, identificando los riesgos asociados y las medidas y equipos para prevenirlos.","f) Se ha cumplido la normativa de prevención de riesgos laborales y de protección ambiental en las operaciones realizadas."
"2º G.D.C.F.G.M.(Electromecánica de Vehículos","Sistemas de Seguridad y Confortabilidad","7. Aplica las normas de prevención de riesgos laborales y de protección ambiental, identificando los riesgos asociados y las medidas y equipos para prevenirlos.","g) Se han aplicado las normas de seguridad en el manejo y almacenamiento de los sistemas pirotécnicos."
